Address,Type,Datetime,Latitude,Longitude
4518 University Way Ne,Aid Response,05/11/2016 05:06:00 PM +0000,47.661426,-122.313128
11616 AURORA AV N,Aid Response,05/11/2016 06:03:00 PM +0000,47.713747,-122.344837
1700 Airport Way S,Aid Response,05/11/2016 03:21:00 PM +0000,47.588225,-122.321391
4th Av S / Edgar Martinez Dr S,Aid Response,05/11/2016 03:55:00 PM +0000,47.590311,-122.32905
1770 Nw 58th St,Automatic Fire Alarm False,05/11/2016 10:14:00 AM +0000,47.670905,-122.379633
509 3rd Av,Aid Response,05/11/2016 10:15:00 AM +0000,47.602114,-122.330809
118 Bell St,Medic Response,05/11/2016 10:26:00 AM +0000,47.613497,-122.346355
E Thomas St / Bellevue Av E,Medic Response,05/11/2016 07:27:00 AM +0000,47.620831,-122.326579
1930 Boren Av,Aid Response,05/11/2016 08:18:00 AM +0000,47.617173,-122.333103
747 N 135th St,Medic Response,05/11/2016 10:11:00 AM +0000,47.726864,-122.348012
222 Pike St,Aid Response,05/11/2016 03:48:00 PM +0000,47.609389,-122.338655
1150 Fairview Av N,Aid Response,05/11/2016 05:39:00 PM +0000,47.629234,-122.330242
298 Yesler Way,Aid Response,05/11/2016 06:08:00 PM +0000,47.601716,-122.330265
312 11th Av,Medic Response,05/11/2016 06:21:00 PM +0000,47.604452,-122.318105
3204 Sw Morgan St,Aid Response,05/11/2016 06:58:00 PM +0000,47.544669,-122.373777
3005 Rainier Av S,Aid Response,05/11/2016 11:11:00 PM +0000,47.576848,-122.297004
1552 Magnolia Way W,Trans to AMR,05/11/2016 11:24:00 PM +0000,47.632691,-122.390371
850 - 899 Broadway,Medic Response,05/11/2016 11:35:00 PM +0000,47.610024,-122.320759
3512 S Juneau St,Aid Response,05/12/2016 03:30:00 AM +0000,47.549772,-122.288795
4601 S Graham St,Aid Response,05/12/2016 03:41:00 AM +0000,47.546032,-122.27532
7711 8th Av Nw,Automatic Medical Alarm,05/12/2016 03:44:00 AM +0000,47.684815,-122.366007
12011 32nd Av Ne,Medic Response,05/12/2016 04:21:00 AM +0000,47.715614,-122.294054
1959 Ne Pacific St,1RED 1 Unit,05/11/2016 07:19:00 AM +0000,47.650743,-122.308014
4544 7th Av Ne,Aid Response,05/11/2016 08:33:00 AM +0000,47.662004,-122.320724
171 Lake Washington Blvd E,Fire in Single Family Res,05/11/2016 09:26:00 AM +0000,47.619299,-122.2816
509 3rd Av,Aid Response,05/11/2016 03:33:00 PM +0000,47.602114,-122.330809
6230 Beacon Av S,Aid Response,05/11/2016 03:46:00 PM +0000,47.546731,-122.300443
153 14th Av,Rescue Lock In/Out,05/11/2016 05:10:00 PM +0000,47.602716,-122.314197
14396 30th Av Ne,Aid Response,05/11/2016 05:39:00 PM +0000,47.732881,-122.296531
1250 1st Av S,EVENT - Special Event,05/11/2016 05:43:00 PM +0000,47.592046,-122.334195
3413 E Pike St,Medic Response,05/11/2016 05:56:00 PM +0000,47.61405,-122.28913
27th Av W / W Commodore Way,Medic Response,05/11/2016 05:58:00 PM +0000,47.662244,-122.391032
4507 S Trenton St,Trans to AMR,05/11/2016 06:46:00 PM +0000,47.524253,-122.275764
10527 15th Av Nw,Automatic Medical Alarm,05/11/2016 07:41:00 PM +0000,47.705765,-122.376582
8601 Rainier Av S,Medic Response,05/11/2016 08:27:00 PM +0000,47.526164,-122.269983
4700 12th Av Ne,Medic Response,05/11/2016 09:45:00 PM +0000,47.663106,-122.315263
Rainier Av S / 33rd Av S,Aid Response,05/12/2016 12:46:00 AM +0000,47.569938,-122.291023
8th Av Nw / Nw 85th St,Aid Response,05/12/2016 01:51:00 AM +0000,47.690655,-122.365993
525 25th Av S,Medic Response,05/12/2016 02:06:00 AM +0000,47.597929,-122.299923
1537 11th Av W,Automatic Medical Alarm,05/11/2016 02:13:00 PM +0000,47.632757,-122.371704
8415 8th Av Nw,Aid Response,05/11/2016 06:45:00 PM +0000,47.68995,-122.365995
2865 EASTLAKE AV E,Aid Response,05/11/2016 10:54:00 PM +0000,47.646766,-122.324996
624 N 34th St,Medic Response,05/12/2016 12:13:00 AM +0000,47.649766,-122.350922
10049 College Way N,Aid Response,05/12/2016 03:30:00 AM +0000,47.701742,-122.335029
1420 NW 80TH ST,Dumpster Fire,05/11/2016 12:22:00 PM +0000,47.686889,-122.374634
9440 27th Av Sw,Trans to AMR,05/11/2016 12:27:00 PM +0000,47.518457,-122.367275
620 N 130th St,Aid Response Yellow,05/11/2016 12:37:00 PM +0000,47.723223,-122.351366
9510 8th Av Ne,Unk Odor,05/11/2016 03:34:00 PM +0000,47.697756,-122.320335
2208 15th Av W,Aid Response,05/11/2016 04:57:00 PM +0000,47.638695,-122.376149
9220 31st Av Sw,Aid Response,05/11/2016 08:27:00 PM +0000,47.520555,-122.372664
85 S Lander St,Aid Response,05/11/2016 08:43:00 PM +0000,47.579811,-122.334868
M L King Jr Way S / S Graham St,Aid Response,05/11/2016 10:27:00 PM +0000,47.546057,-122.285631
4th Av / Virginia St,Rubbish Fire,05/11/2016 10:36:00 PM +0000,47.613063,-122.340033
26th Av Sw / Sw Andover St,MVI - Motor Vehicle Incident,05/12/2016 12:27:00 AM +0000,47.568344,-122.365429
SB I5 AT 50,MVI Freeway,05/12/2016 01:05:00 AM +0000,47.661199,-122.322412
6025 Lanham Pl Sw,Aid Response Yellow,05/12/2016 01:53:00 AM +0000,47.548171,-122.373688
1505 E Galer St,Aid Response,05/11/2016 12:21:00 PM +0000,47.632334,-122.31244
3500 S Holden St,Medic Response,05/11/2016 02:19:00 PM +0000,47.533741,-122.288154
11039 17th Av Ne,Aid Response,05/11/2016 04:25:00 PM +0000,47.709397,-122.309982
13000 Linden Av N,Medic Response,05/11/2016 05:08:00 PM +0000,47.723218,-122.348195
1320 Mercer St,Auto Fire Alarm,05/11/2016 05:59:00 PM +0000,47.624276,-122.330183
3020 Ne 127th St,Aid Response,05/11/2016 09:50:00 PM +0000,47.721092,-122.295892
1811 Eastlake Av,Aid Response,05/11/2016 10:09:00 PM +0000,47.618002,-122.329182
25th Av Ne / Ne 70th St,Investigate Out Of Service,05/11/2016 10:28:00 PM +0000,47.679409,-122.300664
2208 15th Av W,Medic Response,05/11/2016 08:20:00 AM +0000,47.638695,-122.376149
2501 15th Av W,Auto Fire Alarm,05/11/2016 09:45:00 AM +0000,47.640701,-122.37616
2024 Nw 57th St,Activated CO Detector,05/11/2016 09:57:00 AM +0000,47.67018,-122.382437
11030 5th Av Ne,Aid Response,05/11/2016 11:10:00 AM +0000,47.709488,-122.323301
2445 Nw 57th St,Automatic Fire Alarm False,05/11/2016 10:24:00 AM +0000,47.670187,-122.388155
Queen Anne Av N / Mercer St,Aid Response,05/11/2016 07:26:00 AM +0000,47.624583,-122.356709
1101 Ne Campus Pkwy,Aid Response,05/11/2016 07:28:00 AM +0000,47.656024,-122.316772
6025 30th Av S,Medic Response,05/11/2016 07:29:00 AM +0000,47.547885,-122.293658
2332 47th Av Sw,Aid Response,05/11/2016 08:49:00 AM +0000,47.582812,-122.391854
805 Madison St,Aid Response,05/11/2016 09:10:00 AM +0000,47.607969,-122.328414
3919 18th Av W,1RED 1 Unit,05/11/2016 09:47:00 AM +0000,47.655244,-122.379982
1538 Nw 51st St,Automatic Fire Alarm False,05/11/2016 10:41:00 AM +0000,47.665706,-122.376718
3204 Sw Morgan St,Medic Response,05/11/2016 11:22:00 AM +0000,47.544669,-122.373777
7109 44th Av S,Medic Response,05/11/2016 08:17:00 AM +0000,47.538809,-122.278061
Nb I5 At Ship Canal Bridge,Car Fire Freeway,05/11/2016 07:09:00 AM +0000,47.647664,-122.322393
Ne 130th St / Lake City Way Ne,Trans to AMR,05/11/2016 07:10:00 AM +0000,47.722899,-122.293194
14357 Bagley Av N,Medic Response,05/11/2016 07:51:00 AM +0000,47.732812,-122.332995
1115 Nw Market St,Aid Response,05/11/2016 08:41:00 AM +0000,47.668662,-122.370893
8014 13th Av Nw,Rubbish Fire,05/11/2016 08:58:00 AM +0000,47.686979,-122.372756
3613 4th Av S,Aid Response,05/11/2016 02:19:00 PM +0000,47.570724,-122.329062
6109 32nd Av Nw,Medic Response- 7 per Rule,05/11/2016 04:01:00 PM +0000,47.673454,-122.398372
1930 Boren Av,Medic Response,05/11/2016 04:33:00 PM +0000,47.617173,-122.333103
832 Ne 59th St,Aid Response,05/11/2016 07:04:00 PM +0000,47.671495,-122.319653
3500 Ne 96th St,Aid Response,05/11/2016 08:09:00 PM +0000,47.698347,-122.290573
5433 Leary Av Nw,Aid Response,05/11/2016 09:04:00 PM +0000,47.668015,-122.383712
MONTLAKE BLVD NE / NE PACIFIC ST,Boat Under 50' Fire Water,05/11/2016 11:33:00 PM +0000,47.648997,-122.304591
521 Stadium Pl S,Rescue Elevator,05/12/2016 01:42:00 AM +0000,47.597968,-122.331585
7th Av S / S Michigan St,MVI - Motor Vehicle Incident,05/12/2016 01:42:00 AM +0000,47.546547,-122.325036
1130 Nw 54th St,Aid Response,05/12/2016 02:51:00 AM +0000,47.667885,-122.371036
232 Warren Av N,Medic Response,05/12/2016 02:54:00 AM +0000,47.620133,-122.354135
4616 M L King Jr Way S,Medic Response,05/12/2016 03:15:00 AM +0000,47.561674,-122.293783
Ne 125th St / 35th Av Ne,1RED 1 Unit,05/11/2016 07:37:00 AM +0000,47.719253,-122.290784
3200 3rd Av W,Auto Fire Alarm,05/11/2016 09:44:00 AM +0000,47.648663,-122.360887
857 S Donovan St,Aid Response,05/11/2016 11:07:00 AM +0000,47.525613,-122.322172
120 Nw 39th St,Auto Fire Alarm,05/11/2016 09:43:00 AM +0000,47.65415,-122.357873
3624 Phinney Av N,Auto Fire Alarm,05/11/2016 09:46:00 AM +0000,47.652393,-122.354474
810 Virginia St,Trans to AMR,05/11/2016 09:57:00 AM +0000,47.615789,-122.336507
5444 Delridge Way Sw,Aid Response,05/12/2016 03:47:00 AM +0000,47.553321,-122.362969
8840 38th Av Sw,Aid Response,05/12/2016 03:54:00 AM +0000,47.524339,-122.3807
505 Ne 70th St,Aid Response,05/12/2016 04:00:00 AM +0000,47.679461,-122.322756
1401 Broadway,Aid Response,05/11/2016 12:12:00 PM +0000,47.612963,-122.320762
10324 44th Av Ne,Aid Response,05/11/2016 03:32:00 PM +0000,47.702623,-122.281399
2821 S Walden St,Auto Fire Alarm,05/11/2016 05:29:00 PM +0000,47.572163,-122.296173
BELMONT AV / E PIKE ST,Aid Response,05/11/2016 06:25:00 PM +0000,47.614094,-122.324458
3917 University Way Ne,Aid Response,05/11/2016 06:31:00 PM +0000,47.654544,-122.313306
Ne 145th St / 8th Av Ne,MVI - Motor Vehicle Incident,05/11/2016 09:07:00 PM +0000,47.734028,-122.3208
1150 Fairview Av N,Aid Response,05/11/2016 09:32:00 PM +0000,47.629234,-122.330242
1075 Lake Washington Blvd E,Aid Response,05/11/2016 10:01:00 PM +0000,47.628041,-122.293835
2271 N 54th St,Automatic Fire Alarm Resd,05/11/2016 10:14:00 PM +0000,47.667935,-122.33266
2757 6th Av S,Aid Response,05/11/2016 10:48:00 PM +0000,47.579209,-122.325977
2865 Eastlake Av E,Aid Response,05/11/2016 10:54:00 PM +0000,47.646766,-122.324996
Nb I5 To Lakeview,Aid Response Freeway,05/12/2016 12:39:00 AM +0000,47.632258,-122.324055
Brooklyn Av Ne / Ne 42nd St,Trans to AMR,05/12/2016 12:53:00 AM +0000,47.658329,-122.314363
9525 40th Av Ne,Aid Response,05/12/2016 01:47:00 AM +0000,47.697642,-122.28528
3rd Av / Pine St,Aid Response,05/12/2016 02:04:00 AM +0000,47.610743,-122.338702
10751 Marine View Dr Sw,Automatic Fire Alarm False,05/12/2016 02:41:00 AM +0000,47.506462,-122.383221
824 30th Av,Automatic Fire Alarm Resd,05/12/2016 02:44:00 AM +0000,47.610006,-122.293792
2143 S Pearl St,Medic Response,05/11/2016 07:31:00 AM +0000,47.556136,-122.30476
1770 Nw 58th St,Automatic Fire Alarm False,05/11/2016 12:40:00 PM +0000,47.670905,-122.379633
8125 13th Av Sw,Aid Response,05/11/2016 03:03:00 PM +0000,47.529983,-122.351704
4829 Sw Barton St,Aid Response,05/11/2016 04:57:00 PM +0000,47.523174,-122.393181
1700 23rd Av,Auto Fire Alarm,05/11/2016 05:01:00 PM +0000,47.616491,-122.302623
2445 Nw 57th St,Trans to AMR,05/11/2016 09:54:00 AM +0000,47.670187,-122.388155
442 S Main St,Rescue Elevator,05/12/2016 03:54:00 AM +0000,47.600035,-122.328407
7049 16th Av Sw,Aid Response,05/11/2016 07:53:00 AM +0000,47.53958,-122.354983
318 2nd Av Et  S,Aid Response,05/11/2016 08:59:00 AM +0000,47.600194,-122.330541
2245 Nw 57th St,1RED 1 Unit,05/11/2016 09:47:00 AM +0000,47.670184,-122.385375
11655 Beacon Av S,Aid Response,05/11/2016 04:13:00 PM +0000,47.498431,-122.26391
2419 Nw 58th St,Automatic Fire Alarm False,05/11/2016 10:09:00 AM +0000,47.670916,-122.387819
100 Crockett St,Trans to AMR,05/11/2016 10:01:00 AM +0000,47.637416,-122.355598
153 34TH AV E,Medic Response,05/11/2016 08:22:00 PM +0000,47.619352,-122.288813
Sb I5 Cd Fr 4,MVI Freeway,05/11/2016 08:42:00 PM +0000,47.590095,-122.321285
6516 17th Av Nw,Activated CO Detector,05/11/2016 10:23:00 AM +0000,47.676124,-122.378883
11050 8th Av Ne,Aid Response,05/11/2016 10:56:00 AM +0000,47.708935,-122.320569
3005 Rainier Av S,Aid Response,05/11/2016 12:31:00 PM +0000,47.576848,-122.297004
9001 Lake City Way Ne,Aid Response,05/11/2016 02:32:00 PM +0000,47.693931,-122.30552
2027 19th Av S,Automatic Fire Alarm Resd,05/11/2016 02:56:00 PM +0000,47.585241,-122.308153
517 3rd Av,Aid Response,05/11/2016 04:25:00 PM +0000,47.602172,-122.330863
500 5th Av,Aid Response,05/11/2016 04:37:00 PM +0000,47.602985,-122.328535
1601 E Yesler Way,Medic Response,05/11/2016 04:43:00 PM +0000,47.601683,-122.311556
Ne 45th St / 8th Av Ne,Aid Response,05/11/2016 05:25:00 PM +0000,47.661311,-122.319567
204 3rd Av S,Aid Response,05/12/2016 12:06:00 AM +0000,47.600843,-122.330271
12352 36th Av Ne,Aid Response Yellow,05/12/2016 03:00:00 AM +0000,47.717823,-122.289315
1434 Nw 60th St,Automatic Fire Alarm False,05/11/2016 10:27:00 AM +0000,47.672359,-122.374466
5710 26th Av Nw,Automatic Fire Alarm False,05/11/2016 10:55:00 AM +0000,47.670256,-122.390143
1220 N 45th St,Automatic Fire Alarm False,05/11/2016 10:44:00 AM +0000,47.661385,-122.342978
1545 Nw 57th St,Automatic Fire Alarm False,05/11/2016 10:45:00 AM +0000,47.670172,-122.376806
465 N 45th St,Auto Fire Alarm,05/11/2016 11:44:00 AM +0000,47.661398,-122.352701
5814 22nd Av Nw,Automatic Fire Alarm False,05/11/2016 11:48:00 AM +0000,47.671009,-122.384743
645 Elliott Av W,Natural Gas Odor,05/11/2016 12:27:00 PM +0000,47.625355,-122.366703
Western Av / Union St,Aid Response,05/11/2016 03:00:00 PM +0000,47.607364,-122.340216
6109 32nd Av Nw,Medic Response- 7 per Rule,05/11/2016 04:01:00 PM +0000,47.673454,-122.398372
1501 1st Av S,Auto Fire Alarm,05/11/2016 04:44:00 PM +0000,47.590301,-122.334195
1415 2nd Av,Aid Response,05/11/2016 07:40:00 PM +0000,47.608434,-122.338125
5039 11th Av Ne,Alarm Bell,05/11/2016 07:38:00 PM +0000,47.665218,-122.316331
607 3RD AV,Aid Response,05/11/2016 08:12:00 PM +0000,47.602813,-122.331449
1400 S Lane St,Aid Response,05/11/2016 08:49:00 PM +0000,47.596654,-122.314056
314 Ne Thornton Pl,Aid Response,05/11/2016 08:52:00 PM +0000,47.702236,-122.325649
1514 Sw Holden St,Aid Response,05/11/2016 09:01:00 PM +0000,47.533685,-122.354063
11030 5th Av Ne,Medic Response,05/11/2016 10:34:00 PM +0000,47.709488,-122.323301
10049 College Way N,Aid Response,05/11/2016 11:41:00 PM +0000,47.701742,-122.335029
4537 49th Av Ne,Automatic Fire Alarm Resd,05/11/2016 11:45:00 PM +0000,47.66161,-122.27467
2nd Av S / S Main St,Aid Response,05/11/2016 11:52:00 PM +0000,47.600041,-122.331573
12th Av S / S Jackson St,Aid Response,05/12/2016 01:25:00 AM +0000,47.599187,-122.317225
6691 Perimeter Rd S,Auto Fire Alarm,05/12/2016 02:04:00 AM +0000,47.542858,-122.308997
2nd Av Nw / Nw 92nd St,Aid Response,05/12/2016 02:05:00 AM +0000,47.696041,-122.359379
Stewart St / Terry Av,Aid Response,05/12/2016 03:29:00 AM +0000,47.616281,-122.333577
S Mcclellan St / 30th Av S,Aid Response,05/12/2016 03:31:00 AM +0000,47.578346,-122.294163
6610 62nd Av Ne,Aid Response,05/11/2016 11:52:00 AM +0000,47.676577,-122.261465
800 N 36th St,Automatic Fire Alarm False,05/11/2016 11:57:00 AM +0000,47.651148,-122.3486
4803 S Henderson St,Aid Response,05/11/2016 11:58:00 AM +0000,47.52331,-122.272812
204 Warren Av N,Aid Response,05/11/2016 12:03:00 PM +0000,47.6198,-122.354138
517 3rd Av,Medic Response,05/11/2016 12:39:00 PM +0000,47.602172,-122.330863
2208 15th Av W,Trans to AMR,05/11/2016 12:49:00 PM +0000,47.638695,-122.376149
Dexter Av N / Mercer St,Aid Response,05/11/2016 04:15:00 PM +0000,47.62455,-122.34235
2717 Dexter Av N,Aid Response,05/11/2016 04:58:00 PM +0000,47.644374,-122.346913
1924 9th Av,Aid Response,05/11/2016 05:17:00 PM +0000,47.615796,-122.334741
2629 14th Av W,Trans to AMR,05/11/2016 05:31:00 PM +0000,47.642574,-122.374862
3rd Av / Jefferson St,Aid Response,05/11/2016 06:05:00 PM +0000,47.602056,-122.330756
416 2nd Av Et S,Aid Response,05/11/2016 06:27:00 PM +0000,47.601311,-122.33161
24th Av Nw / Nw 61st St,Medic Response,05/11/2016 07:11:00 PM +0000,47.673103,-122.387587
2215 1st Av,Auto Fire Alarm,05/11/2016 07:20:00 PM +0000,47.612716,-122.345399
4221 S Findlay St,Medic Response,05/11/2016 07:29:00 PM +0000,47.551937,-122.28058
Sb I5 At Mercer,MVI Freeway,05/11/2016 07:36:00 PM +0000,47.622727,-122.328659
2709 3rd Av,Medic Response,05/11/2016 07:47:00 PM +0000,47.617176,-122.348974
Ne 70th St / 25th Av Ne,Medic Response- 6 per Rule,05/11/2016 08:06:00 PM +0000,47.679409,-122.300664
11219 Roosevelt Way Ne,Aid Response,05/11/2016 08:40:00 PM +0000,47.710562,-122.317863
1600 E Olive St,Medic Response,05/11/2016 08:42:00 PM +0000,47.616446,-122.311456
4111 Ne 92nd St,Aid Response,05/11/2016 09:18:00 PM +0000,47.69552,-122.283527
7047 25th Av Nw,Aid Response,05/11/2016 10:04:00 PM +0000,47.679769,-122.388684
1811 Eastlake Av,Aid Response,05/11/2016 10:46:00 PM +0000,47.618002,-122.329182
100 W Mercer St,Aid Response,05/11/2016 11:26:00 PM +0000,47.624588,-122.358016
1500 Broadway,Assault w/Weap 7 per Rule,05/11/2016 11:45:00 PM +0000,47.614076,-122.32078
Nw 43rd St / 3rd Av Nw,MVI - Motor Vehicle Incident,05/12/2016 12:48:00 AM +0000,47.65895,-122.360803
E Olive Way / Belmont Av E,Aid Response,05/12/2016 01:24:00 AM +0000,47.619666,-122.324011
4137 41st Av S,Automatic Fire Alarm Resd,05/12/2016 02:49:00 AM +0000,47.565948,-122.281761
16th Av Ne / Ne 58th St,Aid Response,05/12/2016 03:21:00 AM +0000,47.671511,-122.310767
10215 Greenwood Av N,Medic Response,05/12/2016 03:24:00 AM +0000,47.703014,-122.355431
501 E Pine St,Trans to AMR,05/12/2016 04:02:00 AM +0000,47.615219,-122.325518
1155 N 130th St,Trans to AMR,05/12/2016 04:39:00 AM +0000,47.723212,-122.344228
8709 23rd Av Nw,Aid Response,05/11/2016 03:10:00 PM +0000,47.691614,-122.385044
10525 3rd Av Nw,Auto Fire Alarm,05/11/2016 03:17:00 PM +0000,47.705341,-122.360768
450 Ne 100th St,Medic Response,05/11/2016 05:06:00 PM +0000,47.701329,-122.323684
2519 1st Av,Automatic Medical Alarm,05/11/2016 05:28:00 PM +0000,47.614798,-122.348918
4557 11th Av Ne,Aid Response,05/11/2016 08:16:00 PM +0000,47.661812,-122.316566
Sb I5 At Sr520,MVI Freeway,05/12/2016 01:42:00 AM +0000,47.636676,-122.323292
13501 Aurora Av N,Aid Response,05/12/2016 03:08:00 AM +0000,47.72686,-122.345017
2041 Nw 57th St,Auto Fire Alarm,05/11/2016 03:56:00 PM +0000,47.670181,-122.382661
6836 49th Av Ne,Medic Response,05/11/2016 04:09:00 PM +0000,47.677918,-122.275598
5th Av / Stewart St,Aid Response,05/11/2016 04:46:00 PM +0000,47.612958,-122.337873
8817 25th Pl Ne,Aid Response,05/11/2016 05:15:00 PM +0000,47.692647,-122.300471
10777 68th Av S,Automatic Fire Alarm Resd,05/11/2016 05:48:00 PM +0000,47.504641,-122.249395
4th Av / Pine St,Aid Response,05/11/2016 07:25:00 PM +0000,47.611207,-122.337592
2121 26th Av S,Rescue Elevator,05/11/2016 09:19:00 PM +0000,47.584234,-122.299024
1111 E Columbia St,Aid Response,05/11/2016 10:50:00 PM +0000,47.609227,-122.31678
713 23rd Av,Aid Response,05/11/2016 11:08:00 PM +0000,47.608133,-122.302769
1828 Yale Av,Aid Response,05/12/2016 01:45:00 AM +0000,47.617717,-122.330057
13616 3rd Av Ne,Aid Response,05/12/2016 02:08:00 AM +0000,47.727659,-122.326518
1417 Belmont Av,Aid Response,05/12/2016 03:17:00 AM +0000,47.613168,-122.324446
1530 Eastlake Av E,Aid Response,05/11/2016 05:13:00 PM +0000,47.63273,-122.325928
330 19th Av E,Aid Response,05/11/2016 07:33:00 PM +0000,47.620954,-122.307342
3613 4th Av S,Aid Response,05/11/2016 07:50:00 PM +0000,47.570724,-122.329062
3802 S Othello St,Aid Response,05/11/2016 07:52:00 PM +0000,47.537035,-122.28468
1600 S Lane St,Aid Response,05/11/2016 08:29:00 PM +0000,47.59665,-122.311586
6400 Sylvan Way Sw,Aid Response,05/11/2016 09:36:00 PM +0000,47.544653,-122.372534
6th Av S / S Lane St,Aid Response,05/11/2016 11:07:00 PM +0000,47.596676,-122.32637
6220 32nd Av Ne,Auto Fire Alarm,05/11/2016 11:15:00 PM +0000,47.674094,-122.293258
5300 24th Av Ne,Aid Response,05/11/2016 11:39:00 PM +0000,47.66707,-122.301946
Nw 95th St / 8th Av Nw,MVI - Motor Vehicle Incident,05/12/2016 12:05:00 AM +0000,47.697865,-122.366035
SB I5 AT SHIP CANAL BRIDGE,MVI Freeway,05/12/2016 12:50:00 AM +0000,47.646334,-122.322987
Westlake Av / 6th Av,Aid Response,05/12/2016 01:12:00 AM +0000,47.613947,-122.337563
101 Ne 50th St,MVI - Motor Vehicle Incident,05/12/2016 01:15:00 AM +0000,47.665003,-122.328251
2221 Nw Market St,Aid Response,05/12/2016 02:02:00 AM +0000,47.668678,-122.385077
3790 Okanogan Ln Ne,Aid Response,05/12/2016 02:44:00 AM +0000,47.653049,-122.309076
2100 Queen Anne Av N,Aid Response,05/12/2016 03:21:00 AM +0000,47.63717,-122.356941
9430 30th Av Sw,Auto Fire Alarm,05/12/2016 04:30:00 AM +0000,47.517943,-122.371386
2709 Ne 145th St,Medic Response,05/12/2016 04:39:00 AM +0000,47.733807,-122.299105
11038 35th Av Ne,Aid Response,05/11/2016 08:44:00 PM +0000,47.708596,-122.290755
517 3rd Av,Trans to AMR,05/11/2016 10:11:00 PM +0000,47.602172,-122.330863
1350 Ne Campus Pkwy,Aid Response,05/12/2016 12:44:00 AM +0000,47.65622,-122.313829
Sb I5 At 117,MVI Freeway,05/12/2016 01:30:00 AM +0000,47.713612,-122.327503
914 E Jefferson St,Medic Response,05/12/2016 03:24:00 AM +0000,47.606212,-122.320559
E Mercer St / Broadway E,Aid Response,05/12/2016 03:36:00 AM +0000,47.624269,-122.320942
9440 27th Av Sw,Aid Response,05/12/2016 04:41:00 AM +0000,47.518457,-122.367275
9536 Ashworth Av N,Aid Response,05/12/2016 02:11:00 AM +0000,47.698111,-122.339707
10500 51st Av S,Dumpster Fire,05/12/2016 02:28:00 AM +0000,47.506583,-122.270133
1720 E Olive St,Trans to AMR,05/12/2016 02:29:00 AM +0000,47.616442,-122.309884
400 S Washington St,Aid Response,05/12/2016 02:39:00 AM +0000,47.600875,-122.328963
2119 3rd Av,Aid Response,05/12/2016 04:15:00 AM +0000,47.613308,-122.342432
416 Federal Av E,Aid Response,05/12/2016 04:26:00 AM +0000,47.622152,-122.318871
420 Blanchard St,Auto Fire Alarm,05/12/2016 04:36:00 AM +0000,47.614736,-122.342459
